[MALE] was at the county fair .|||he saw a clown there and it scared him so much that he ran away .
[MALE] is a manager at kfc .|||he started as a fry cook [MALE] wants to move to a new house , but his wife [FEMALE] does not want to move . [MALE] convinces her to look at a couple new houses , and she does not see any that she likes . [FEMALE] refuses to move.[female] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row , so she waited in the lobby till everyone was seated .
[MALE] is the family dog .|||[MALE] was the family dog . he was a golden retriever and he was the best dog anyone could ask for . he was always happy and he loved to play . he was always there for his family and he would do anything for them .
[FEMALE] was chosen to play a flute solo in her school concert .|||[FEMALE] was excited but also nervous . she had never played in front of an audience that large . the day of the concert came and she was ready . she played beautifully and everyone loved it .
[MALE] has always wanted to mexico .|||[MALE] has always wanted to mexico . ever since he was a little kid he dreamed of going to see the ancient ruins . he finally got the chance to go on a family vacation there .
[FEMALE] bought flimsy headphones from a highway gas station .|||[FEMALE] was really happy with her purchase . the headphones were the perfect size and they sounded great too . a few weeks later , she noticed that one of the ear cups was starting to come off . she tried to fix it but it would n't stay .
[MALE] was concerned about his health .|||[MALE] went to the doctor and they did some tests . the doctor said that [MALE] needed to start exercising and eating better . [MALE] was happy to hear this because he knew that he needed to take care of himself .
ken was playing video games .|||ken was so into the game that he did not hear his mom come in the room . she yelled at him to get up and do his homework . ken yelled back that he would do it later . his mom grounded him for a week .
[NEUTRAL] was waiting in line at the drive through .|||he noticed that the car in front of him had only one person in it . the person was eating a burrito and it looked delicious . [NEUTRAL] decided to order the same thing .
i had been avoiding the debt collection calls for months .|||i had been avoiding the debt collection calls for months . i knew that i needed to face the problem , but i was so embarrassed that i had let it get this bad . one day , i decided to just answer the phone and deal with it . the representative was so understanding and helped me create a payment plan that worked for me .
our phone line went down friday night during a storm .|||we were without phone service all weekend . it was really frustrating because we could not get in touch with anyone . we had to drive to the neighbors house to use their phone .
[MALE] loved solving hard puzzles .|||one day , he found a puzzle in a magazine that was so hard , he could n't solve it . he worked on it for weeks , but he still could n't finish it . he was so frustrated that he wanted to give up , but he kept thinking about how satisfying it would be to finally finish the puzzle . in the end , he was able to solve it and he felt really proud of himself .
[MALE] wanted to be healthier .|||[MALE] tried a bunch of different diets but he never could stick to them . then one day he saw an infomercial for a fitness program . he decided to try it and it worked for him .
[FEMALE] had to house sit her friends ' house while she was away .|||mum and dad had to go away for a weekend and they asked me to house sit for them . it was their friends ' house and they said it would be no problem . they even left me the key . when i got there , i saw that the key did n't fit the lock ! i had to go around the back and find the window that was open . i climbed in and let myself in .
[MALE] worked very hard in school .|||[MALE] was a straight a student and was always one of the top students in his class . he wanted to go to the best university possible , so he studied hard and got good grades .
[MALE] was drunk one night .|||to a new house because he and his wife [FEMALE] had been fighting a lot . she did n't want to move but [MALE] convinced her to look at a couple new houses . they did n't see any that they liked and [FEMALE] refused to move.[female] and her family were attending her grandpa 's funeral . [FEMALE] did n't want to sit in the front row , she waited in the lobby till everyone was seated . she crept in and took a seat towards .
i remember license plates easily .|||there was one plate in particular that i remember vividly . it was from the state of oregon and had a picture of a beaver on it . i remember because i was really fascinated by the animal and i thought it was really cool that the state had chosen it as their emblem .
we went to a dinner and show one night .|||the show was called `` the living dead '' . it was about a family who got attacked by zombies . the dinner was a buffet and there was a lot of food . i ate too much and felt sick by the end of the night .
[FEMALE] is afraid of her best friends cat .|||[FEMALE] has been best friends with her friend [MALE] for as long as she can remember . about a year ago , [MALE] got a cat and ever since , [FEMALE] has been terrified of it . she always makes up excuses to not go over to [MALE] 's house .
when i was five , my dad brought home a kitten .|||my dad was a biology teacher and he loved animals so he brought home a kitten from work . we named her lucky and she was the best thing that ever happened to our family . she was always cuddling with us and she was the best friend i ever had .
i met a lady yesterday .|||she was very kind and we got to talking . she told me that she was a stay-at-home mom and that she loved it . she said that she loved being able to be there for her kids and that she would never trade that for anything .
[MALE] was taking an acting class at school .|||one day , the teacher gave the class an assignment to improvise a scene . [MALE] was paired up with [FEMALE] . they had to pretend to be married and argue about whether or not to move to a new house . [MALE] was trying to convince [FEMALE] to look at some new houses , but she was refusing to move . [FEMALE] said that she did n't want to move because her family was attending her grandpa 's funeral and she did n't want to leave them .
mom makes the best spaghetti sauce .|||after trying a couple of new houses , [MALE] finally convinces [FEMALE] to move to a new house . however , she still does not see any that she likes and refuses to move . while attending her grandpa 's funeral , [FEMALE] did not want to sit in the front row . she waited in the lobby till everyone was seated and then crept in and took a seat towards the back . her mother saw her and made her move to the front row . [NEUTRAL] was .
[MALE] was always late to class .|||[MALE] would always roll in to class 10 minutes after it started , and the professor would always give him a stern look . one day , [MALE] came in and the professor was gone . he asked one of his classmates where the professor went , and she told him that she left because [MALE] was always late .
[MALE] was a very successful young man .|||he had a great job and a nice house . but he was always working and he never had time for himself . he decided to take a break and go on a vacation .
[MALE] was a lonely man .|||he had been married for a long time , but his wife had died a few years ago . he had no children and no friends . he worked at home so he did n't really get out much .
[FEMALE] is in a relationship with her dream guy .|||[FEMALE] is in a relationship with her dream guy . she is really happy and content with him . however , she does not want to get too comfortable and lose focus on her goals . she is afraid that if she lets her guard down , she will end up in a relationship that is not good for her .
[MALE] was a pyromaniac .|||[MALE] had a problem . he loved fire . a lot . he would watch it burn for hours on end . one day , he decided he wanted to start a fire himself . he took a book of matches and went to the park .
[FEMALE] enjoys living on the farm .|||[FEMALE] enjoys living on the farm because she can go outside and roam around whenever she wants . she also likes the fact that she can grow her own food , and that the animals provide her with company .
[NEUTRAL] learned to ride a bike yesterday .|||[NEUTRAL] was very excited to learn to ride a bike . his parents got him a brand new bike and he went to the park to try it out . he fell a few times but he kept getting back up . after a while , he was able to ride around the park without falling off .
i took karate lessons every friday for two years .|||for the first year , i was the only girl in the class . i got a lot of bruises but i loved it . the second year , my younger sister started taking the class with me and it was a lot more fun . we would go home and compete to see who could do the most push-ups or who could beat the other one in a sparring match .
i asked my husband to go out with me .|||i asked my husband to go out with me , but he refused . he said he was too busy .
last year we got some eggs .|||uring the winter we got a lot of eggs . we ate them boiled and scrambled and in omelets and as hard boiled eggs . we also pickled some eggs and made a cake with egg whites .
[MALE] dropped a mirror in his room .|||the shards of glass were everywhere . [MALE] quickly cleaned it up , but he knew he would have to be more careful in the future .
[FEMALE] needed to find a gas station to fill up .|||she found one on the side of the road but it was closed . she continued driving and found another one but it was closed too . she finally found one that was open but it was way out of the way .
i walked into the store yesterday .|||i walked into the store yesterday , and i saw this really cute dress . but it was really expensive , so i did n't buy it .
needing a snack , i walked to the kitchen .|||i opened the fridge and grabbed an apple . as i turned to leave , i saw a jar of cookies and decided to take one .
[MALE] was out playing golf .|||he hit his ball into the water hazard . he took his club and started walking towards the water . he was surprised when he saw a fish swimming around his ball .
[NEUTRAL] has never been to california .|||[NEUTRAL] has never been to california , but he has always wanted to go . he has heard that it is a beautiful state with lots to see and do . he is excited to finally have the chance to visit .
[MALE] is a troubled kid .|||[MALE] was a troubled kid . he was always getting into fights with other kids at school . his parents did n't know what to do with him . one day , they decided to send him to a counselor . the counselor was able to help [MALE] get his anger under control .
[MALE] turned the rabbit over the fire pit .|||the rabbit sizzled and the smell of cooking meat filled the air . [MALE] was excited to have his first real hunt successful . he looked over at [FEMALE] and she had a disgusted look on her face . `` what 's wrong ? '' [MALE] asked . `` this is barbaric , '' [FEMALE] said . `` we 're cooking a living creature . '' [MALE] rolled his eyes . `` it 's not like the rabbit wanted to be alive anymore , '' [MALE] said . `` plus , we .
[MALE] found out his child was bullied .|||[MALE] was furious when he found out his child was bullied . he wanted to find the kids who did it and hurt them as much as they hurt his child . but his wife [FEMALE] talked him out of it . she said it would only make things worse .
[MALE] had never tasted lobster .|||one day , [MALE] went to a seafood restaurant with some friends . they all ordered lobster , but [MALE] did n't know what it was . his friends warned him that it would be messy , but [MALE] decided to try it anyway . he did n't like it .
[FEMALE] was walking home from school .|||[FEMALE] was walking home from school when she saw a group of kids picking on a smaller kid . she walked over and told them to stop . they did n't listen so she punched the biggest one in the face .
[FEMALE] son was so premature that he had a low apgar score .|||although [FEMALE] 's son was premature , he had a low apgar score , she was still hopeful that he would survive . she stayed positive and prayed for her son every day . eventually , her son was able to go home and she was able to care for him herself .
[NEUTRAL] was a star athlete .|||one day , [NEUTRAL] was approached by a scout from a prestigious university . [NEUTRAL] was hesitant at first , but the scout told him that all he needed was a chance . [NEUTRAL] decided to take the scout up on his offer and ended up becoming a star athlete for the university .
[FEMALE] awoke from her sleep with a full bladder .|||she got out of bed and slowly made her way to the bathroom . when she was finished , she saw that there was a large puddle of urine on the floor .
[MALE] worked at a mechanic shop .|||one day , the owner of the shop , [FEMALE] , came in and told him that she was closing the shop . she said that she was moving out of town and that she was selling the shop . [MALE] was devastated . he did n't know what he was going to do .
[FEMALE] brother and i were shooting peas at each other through straws .|||[FEMALE] 's brother was better than her so she always lost . one day , she got so mad that she started shooting peas as hard as she could . her brother was so surprised that she could shoot peas so well and he started dodging them .
[MALE] hated his teacher for math .|||[MALE] hated his teacher for math because she always gave him a hard time . he thought she was just trying to be mean . however , one day he found out that she was just trying to help him learn .
[FEMALE] wanted to go on a hot air balloon .|||[FEMALE] and her husband [MALE] went on a hot air balloon ride . it was their first time and they were a little nervous . the balloon ride was very peaceful and they saw some beautiful sights .
[FEMALE] wanted a quiet place to read .|||she found a bench in the park that was far away from the playground . she sat down and pulled out her book . she was reading for about 10 minutes when a group of kids came running up to the bench and started playing around her .
[NEUTRAL] had to call his insurance company .|||he called his insurance company and they told him his car was hit by a deer . the repairs were going to cost more than the car was worth so they told him to total it .
the woman was frustrated that her husband bought lottery tickets .|||the woman was frustrated that her husband bought lottery tickets . she thought it was a waste of money . she would rather him save his money so they could buy a house . however , the man loved to buy lottery tickets and he thought it was fun .
[FEMALE] purchased a book .|||she opened it and started reading on the train home . she got so absorbed in the story that she missed her stop . she had to get off at the next station and walk the rest of the way home .
[NEUTRAL] was taking archery classes .|||one day , [NEUTRAL] went to pick up his bow and arrows from the archery range , and he noticed that they were missing . he asked the instructor where they were , and she told him that someone had stolen them . [NEUTRAL] was really upset , because he loved archery and did n't want to have to stop taking classes .
i bought a wheel of camembert .|||as i wheeled it through the supermarket , the smell got stronger and stronger . by the time i got to the checkout , the wheel was starting to look a bit ripe . the cashier said she 'd never seen anything like it and she 'd give me a discount .
[FEMALE] and her friends drove all the way to las [NEUTRAL] .|||[FEMALE] and her friends drove all the way to las vegas . they were excited to see the sights and gamble . unfortunately , they were not very lucky and lost all their money . they had to drive all the way back home empty-handed .
[NEUTRAL] wanted to be something really scary for halloween .|||[NEUTRAL] found a book on the internet about how to make a monster costume . it was really easy to follow and only took a few hours to make . he looked really scary and everyone was scared of him on halloween .
the court date was set for earlier this month .|||the victim and her family were relieved that the court date was finally set . they were ready to put this all behind them and move on with their lives . the defendant 's family was hopeful that the case would be dismissed .
[NEUTRAL] has always wanted to be play in the nfl .|||he has always wanted to play in the nfl , but he was never very good at football in school . one afternoon , his mom took him to the park to play some football . he was terrible at first , but then he started to get the hang of it . and he loved it .
[MALE] wanted to increase his overall productivity .|||he read a lot of articles on the internet about productivity and tried a lot of the techniques , but nothing really worked for him . one day , he heard about a technique called the pomodoro technique . he read about it and decided to give it a try .
[FEMALE] only had one pair of glasses .|||she would wear them all the time , but they would get dirty really easily . she would clean them with a cloth , but it would never be as good as new . one day , she lost them . she looked everywhere , but she could n't find them . she had to get a new pair .
[MALE] had a major exam coming up in statistics class .|||[MALE] was very nervous about the exam . he had been studying for weeks but he was still unsure of how well he would do . on the day of the exam , he woke up early and tried to relax . he knew that if he panicked , he would do worse .
[MALE] is sitting down eating his lunch at school .|||he pulls out his lunchbox and starts to eat . it 's your average school lunch - a sandwich , some fruit , and a carton of milk . he 's just started to eat when he hears someone coming up behind him .
the door swung open .|||the door swung open , and in walked a small , sprightly woman . she was wearing a bright yellow dress that brought a smile to my face .
[MALE] noticed there was missing money from the register .|||[MALE] confronted the cashier [FEMALE] about the missing money . [FEMALE] said she did not take the money and she did not know what happened to it .
[FEMALE] was a lunch lady at school .|||one day , a student handed her a note . it said , `` i like your hat . '' the next day , she wore a different hat . the student handed her a note that day , too . it said , `` i like your other hat . '' .
i was given a difficult task by my employer .|||my employer gave me a difficult task and instructed me to complete it by the end of the day . i was very apprehensive about being able to complete it on time , but i managed to do it with a few hours to spare .
[FEMALE] ordered a pizza one friday night .|||she got the large pepperoni and waited for it to arrive . it showed up about an hour later and she started to eat it . she only got about two bites in when she heard a knock on the door . she knew it was the pizza guy so she went to answer it . she opened the door and there was the pizza guy with a look on his face like he had just seen a ghost .
[FEMALE] daughter 's neighborhood friend [FEMALE] got married last november .|||a few weeks ago , [FEMALE] daughter 's neighborhood friend [FEMALE] got married last november . [FEMALE] was one of the bridesmaids and she looked beautiful in her navy blue dress . the wedding was held at a church in town and the reception was at the country club . it was a lovely affair and everyone had a great time .
[MALE] and his wife slept early .|||[MALE] liked it because he liked getting up early and his wife liked it because she liked going to bed early .
two weeks ago i left a shopping bag on the floor .|||when i got back to the car , i noticed my bag was gone . i knew it was only a matter of time before someone stole my stuff so i went back into the store to see if they had it . the employees said they did not have my bag and that i should call the police .
[MALE] was at the bar drinking .|||a group of guys came in and sat at the table next to him . one of them was obviously drunk and started to bother [MALE] . he asked him to leave but he refused . [MALE] got up and punched him in the face .
[MALE] is a very miserable human being .|||[MALE] has been miserable ever since he lost his job . his wife [FEMALE] has had to take on two jobs to support the family . [MALE] has refused to get a job . [FEMALE] is at her wit 's end .
[MALE] has a biology test in the morning .|||[MALE] 's studying for the test is interrupted by a phone call from [FEMALE] . she asks him to pick her up from work because her car has broken down . [MALE] is not happy about this because he has to leave to study .
i once had an eyeshadow palette that was my favorite .|||i used it all the time and it lasted me a really long time . but then one day it just disappeared . i have no idea what happened to it and it makes me so upset because it was my favorite .
[FEMALE] had really large breasts .|||many people would stare at her chest , and she often felt self-conscious . she would sometimes wear clothing that would minimize her breasts , but she always felt like she was hiding something . eventually , she decided to undergo surgery to reduce the size of her breasts .
[FEMALE] loved looking at pictures .|||she would spend hours looking through old photo albums and family pictures . she would get lost in the moments that the pictures captured . she dreamed of having her own photo album one day .
i work very hard to please him .|||i work very hard to please him . i do everything he asks and more . i want him to be happy and if that means i have to do things i do n't want to do , then that 's what i 'll do .
[MALE] was at a wing place .|||he was at a wing place with his buddies , and they were getting their hands on every sauce they could . he loved hot sauce , and he was really enjoying himself . but then he got a bit too daring , and put too much hot sauce on his wings . he started sweating , and his buddies were laughing at him . he learned his lesson , and now knows to use more restraint when it comes to hot sauce .
she was being very disrespectful .|||the woman was being very disrespectful to her mother-in-law . she refused to do anything she was asked and continued to sulk in the corner . her husband tried to get her to stop but she just would n't listen . finally , the mother-in-law had had enough .
[NEUTRAL] was a very famous actor .|||people often asked him for autographs and pictures . he always tried to be nice and accommodate them . he would always take the time to talk to them and pose for pictures .
one day my sister and i were returning home from school .|||as we walked up our driveway we saw a squirrel run out of our house . we knew that mom was at work and dad was at his martial arts class . we were so excited to have the house to ourselves for a couple hours . we went in and the first thing we did was make a sandwich .
[NEUTRAL] has lost his job .|||he feels hopeless and ca n't see a way out . he 's been applying for other jobs but no one is hiring . he 's starting to think that he might have to move back in with his parents .
[MALE] heard a thud in the middle of the night .|||[MALE] looked out the window to see a cat stuck in a tree . he called the fire department and they rescued the cat .
[MALE] was at a bar .|||a guy walks into a bar and sees his ex-girlfriend sitting with another guy . he starts to walk over to her , but then he changes his mind and walks out .
[FEMALE] boss said there was a lot of work to be done .|||[FEMALE] was surprised that there was so much work to be done . she asked her boss how she was supposed to do it all . her boss told her that she would have to work overtime .
[FEMALE] was looking for her glasses everywhere .|||she had misplaced them and she could not find them anywhere . she finally found them on the top of her head . she had put them there when she was taking a nap .
we went to visit family on the 4th of [FEMALE] .|||on the 4th of july , we went to visit family . my wife 's family is really big , so there were a lot of people there . we had a great time , but it was really hot . i think we all sweat through our clothes .
[MALE] encountered a snake during his wilderness trip .|||he immediately froze and tried to remember everything he had been taught about snakes . he assessed the situation and realized that the snake was not a threat to him . he slowly backed away and eventually made it back to camp safely .
we walked into the pet store .|||as soon as we walked in , we were assaulted with the smell of animal pee . we walked up and down the aisles , looking at all the animals . i wanted a dog , my mom wanted a cat , and my dad wanted a snake .
[NEUTRAL] came home but he was shivering .|||he went to the kitchen and put some water on the stove to heat up . he took a towel and put it around his neck . he went to the living room and turned on the tv .
[MALE] got a job out of state .|||he told his wife [FEMALE] and she was not happy about it . she said she did not want to be a single parent and she did not want to move .
[MALE] 's shoes were very old .|||[MALE] had had them for three years and they were starting to fall apart . his friend told him about a sale at the shoe store and [MALE] decided to buy a new pair .
[NEUTRAL] went to his car from the store .|||he went to his car and got in . he looked in the rearview mirror and saw the man who had been following him . he started the car and drove away .
[FEMALE] was 3 and wanted lots of balloons for her birthday party .|||[MALE] worked at the local balloon store and got [FEMALE] all the balloons she wanted for her birthday party .
[FEMALE] entered a pie competition .|||she made a blueberry pie and it won first prize ! she was so happy and decided to enter more competitions . she even started a blog where she shared her recipes .
[NEUTRAL] knew something was wrong with his car .|||[NEUTRAL] took it to the mechanic and they told him the engine needed to be replaced . the cost was more than he could afford on his own so he had to get a loan .
[MALE] 's birthday is in two weeks .|||[MALE] is thinking about what he wants to do for his birthday . he could either have a party or go out to eat with his friends . he is not sure what to do .
in seventh grade i got in trouble in school for the first time .|||in seventh grade , i got in trouble in school for the first time . my teacher caught me cheating on a test , and she gave me a zero for the assignment . i was really embarrassed , and i felt like everyone was talking about me .
ken is at his doctor for a routine check up .|||ken has been having some chest pains lately so his doctor wants to do some tests . ken is a little worried but he is hoping for the best .
[MALE] was on the train .|||[MALE] was on the train , on his way to work . he was sitting in a crowded carriage , and he was getting impatient . the train had been stopped at the station for a long time , and [MALE] was getting antsy . finally , the doors opened and everyone poured out . [MALE] was stuck in the back , and he could n't get out .
[MALE] was at a friend 's house .|||[MALE] was at a friend 's house when he saw a girl he liked . he did n't want to seem too eager , so he waited a few days before asking her out .
[FEMALE] bought a laptop online with free shipping .|||she was excited to get it in the mail because she needed it for a project she was working on . when it arrived , she opened the box and found that the laptop was smashed .
[FEMALE] saw a smoothie at the store .|||[FEMALE] saw a smoothie at the store and thought it would be a great way to get some extra protein . she bought one and took it home , but when she tried to drink it , she found that the straw was missing .
[MALE] always had a drinking problem .|||his family and friends would try to talk to him about it but he would never listen . his wife [FEMALE] decided to leave him . she packed her bags and left him while he was passed out on the couch .
a friend was driving her family to six flags park .|||her four year old son wanted to see the cars on the freeway . so the friend pulled over to the side of the road . her son saw the cars and then wanted to get out of the car to look at them . she tried to hold him back but he was too strong . he got out of the car and walked towards the cars .
[FEMALE] bought a new dress .|||she put it on and looked in the mirror . she loved it and decided to wear it to her friend 's party that night . when she got there , all her friends were wearing the same dress .
[FEMALE] daughter was in a play .|||the play was about a young girl who was trying to find her way in the world . [FEMALE] was so proud of her daughter . she had a leading role and she memorized all her lines . the performance was amazing .
[MALE] got drunk on his birthday .|||he woke up the next day with a headache and a dry mouth . he could n't remember anything from the night before . he found out from his friends that he had gotten drunk and made a fool of himself .
[FEMALE] always raised her hand whenever her teacher asked a question .|||[FEMALE] was n't very popular with her classmates because she always raised her hand whenever her teacher asked a question . she always knew the answer and she loved to answer . her classmates would get angry because they did n't want to get called on .
someone had hit [MALE] 's mailbox with a hammer .|||[MALE] was really angry when he saw the mailbox . he wanted to know who did it . he asked his neighbours but no one saw anything .
the heater was not working in the house .|||the family all gathered in the living room with blankets and jackets . they tried to stay warm but it was not working . finally , [FEMALE] called the landlord and he said he would send someone over to fix it .
[FEMALE] and her husband never had any free time .|||[FEMALE] and her husband always worked hard . they never had any free time . but they loved each other and they loved their children . one day , they decided to take a break and spend some time together . they went on a vacation and they never came back .
[MALE] is an amateur astronomer .|||[MALE] often camps out in his backyard to watch the stars . he has a few favorite spots where he sets up his telescope . he has seen some amazing things in the sky and he loves to share his knowledge with anyone who will listen .
[FEMALE] was in a very upbeat mood because of her math grade .|||[FEMALE] was so happy with her math grade that she decided to celebrate by going shopping . she bought a new dress , shoes , and a purse . she was so excited that she could n't wait to wear them .
[FEMALE] loved to run track in high school .|||[FEMALE] loved to run track in high school . she always ran track , even in the summer . she loved the feeling of the wind in her hair and the sun on her face . when she graduated , she decided to continue running in college .
[FEMALE] was in college and needed a part-time job to help pay tuition .|||she applied at the campus bookstore and got the job . she worked the cash register and helped students find the books they needed .
[MALE] was trying to log onto his e-mail .|||he typed in his username and password and hit the login button . but nothing happened . he tried again and again but it just would n't work . he started to get frustrated and he did n't know what to do .
[MALE] was really hungry .|||[MALE] goes to the fridge but there is nothing to eat . he opens the cupboard and there is nothing there either . he starts to feel desperate .
[MALE] was shopping for his wife .|||he found a dress that she would love but it was too expensive . he decided to buy it anyway and surprise her with it . she was thrilled and said it was the best present she ever got .
[FEMALE] saw her older sister steal $ 20 from their mom 's purse one night .|||[FEMALE] was scared that her sister would get in trouble . she wanted to tell their mom but she was scared that her sister would get in trouble . [FEMALE] decides to tell her mom the next day .
[MALE] found some chewable candy in a drawer .|||he did n't know who it belonged to so he put it back . a few weeks later , he found the same candy in the same drawer . this time he ate it .
[MALE] has just got his driving permit and is excited .|||[MALE] is excited to finally be able to drive around on his own . he has just got his driving permit and is eager to start driving . he is going to ask his dad to help him practice .
the heater at [MALE] 's house did n't work .|||the cold weather was making it hard for [MALE] to concentrate on his work . he needed to get a new heater but he could not afford it . one day , he found a box on his porch with a new heater inside .
some guy caught my attention at the bus stop .|||he was wearing a hoodie and i could see his face . he had the most beautiful green eyes i had ever seen . we locked eyes for a second and then he looked away . i could n't stop thinking about him for the rest of the day .
[MALE] loved the natural history museum .|||he would go there every weekend when he was a kid . he would spend hours looking at the animals and the plants . he always wanted to be a zoologist when he grew up .
the bride smiled at the groom .|||he could feel the love between them . the wedding was perfect and they lived happily ever after .
[MALE] was practicing new trendy dance moves .|||[MALE] is practicing new trendy dance moves in his bedroom . he is really getting into it , but then he hears his mom calling him for dinner . he reluctantly stops dancing and goes to the kitchen .
[MALE] had been gaining a lot of weight .|||[MALE] had been gaining a lot of weight and he did n't know why . he exercised and ate healthy , but the scale just kept going up . one day , he decided to go to the doctor to get some help . the doctor told him that he had a hormone imbalance and needed to go on medication to fix it . after taking the medication for a few months , [MALE] started to lose weight and was finally able to get back to his ideal weight .
today we had our family barbecue .|||my mum and dad were in charge of the grill . my sister set up the picnic table and chairs . my little brother was in charge of the drinks . i was in charge of the food .
[NEUTRAL] was walking home from work .|||[NEUTRAL] was walking home from work when he saw a guy getting mugged . he did n't have a phone on him so he could n't call the police . he started running towards the guy to help him . the mugger saw him coming and ran away .
the house creaked .|||the house creaked as i walked down the hallway , making my way to the kitchen . i wondered if i was the only one who could hear it or if everyone else just chose to ignore it . it was probably just the house settling , but it was still unnerving .
[MALE] had just joined the school 's baseball team .|||[MALE] was excited to join the school 's baseball team but he was nervous too . he had never played before but he was a fast learner . the coach put him in as a pinch runner and he did great ! .
[MALE] was the proud owner of a siberian husky .|||[MALE] was the proud owner of a siberian husky . the dog was a beautiful animal , but it was also a lot of work . [MALE] had to take the dog for a walk every day , no matter what the weather was like .
[MALE] broke into the old apartment .|||[MALE] had been planning to break into the old apartment for weeks . he knew the landlord had changed the locks but he had a plan . he brought a ladder and some tools and started to work on the window .
[MALE] played soccer his entire life .|||[MALE] wants to move to a new house , but his wife [FEMALE] does not want to move . [MALE] convinces her to look at a couple new houses , and she does not see any that she likes . [FEMALE] refuses to move , but [MALE] tells her that he will keep looking.[female] and her family were attending her grandpa 's funeral . [FEMALE] did not want to sit in the front row , so she waited in the lobby .
i have been trying to order something online for over a week .|||ive been trying to order something online for over a week and every time i try to checkout it says that my card is invalid . i called the credit card company and they said that the card is not closed and has been used recently so theres something wrong with the website .
[MALE] could barely stay awake in class .|||[MALE] found that he could not focus in class if he was not well-rested . he started to experiment with different bedtimes and found that going to bed at 10pm allowed him to get the most out of his classes .
[MALE] had his first day in elementary school .|||[MALE] was very excited for his first day of elementary school . he woke up early and got dressed . he ate breakfast and brushed his teeth . he put on his backpack and left for school .
i ran and climbed over the fence .|||i was so happy when i finally made it over the fence . i was out of breath and my heart was racing , but it was worth it . being able to explore the new neighborhood was amazing .
for haun , snacks are important for watching movies .|||for haun , snacks are important for watching movies . he likes to have something to munch on while he 's watching and he usually brings his own snacks to the theater . he says that it makes the experience more enjoyable .
[MALE] is driving his family home from the store .|||[MALE] is driving his family home from the store . they had just bought some groceries and they were on their way back home . his wife [FEMALE] was sitting in the passenger seat and their children were in the backseat . [MALE] was driving and [FEMALE] was sitting in the passenger seat . they were driving home from the store .
on [FEMALE] my sister-in-law dropped by .|||on my sister-in-law 's last visit , she dropped by unannounced . i was in the middle of cooking dinner and i did n't have time to greet her properly . i just yelled from the kitchen that she could help herself to a drink , and then i went back to cooking .
[MALE] had lost his job .|||[MALE] decided to go back to school to get his degree . he did n't want to be unemployed for the rest of his life .
[FEMALE] is always getting abused by her boyfriend .|||[FEMALE] is always getting abused by her boyfriend . he 's always yelling at her and calling her names . she 's tired of it and wants it to stop .
i went to a [MALE] symphony orchestra concert in 2005 .|||i went to a symphony orchestra concert in 2005. it was a great experience . the orchestra was very talented and the music was beautiful . the concert hall was also very impressive .
[FEMALE] was a princess in a european country .|||[FEMALE] had a strict upbringing . she was not allowed to go out with boys . she was not allowed to wear make-up . she was not allowed to do anything that was not approved by her parents . she longed for a life outside of her castle walls .
[NEUTRAL] never saw herself as disabled until she experienced discrimination .|||at first , [NEUTRAL] never saw herself as disabled . she always thought of herself as just a regular person . but then she started experiencing discrimination because of her disability and that 's when she began to see herself as disabled .
[MALE] was the quarterback of the high school football team .|||[MALE] had a lot of scholarship offers from colleges . but he decided to go to the college his dad went to . it was a good decision because he met [FEMALE] there and they got married .
[FEMALE] brother had trouble getting a duplicate title to his card .|||[FEMALE] 's brother went to the dmv to get a duplicate title to his card . when he got there , he found out that his card had been cancelled because of an outstanding balance .
[FEMALE] was late for work .|||she was running to catch the bus when she saw a man getting mugged . she ran to help him and got mugged herself . the man she helped got away .
i decided to change my hair color .|||i was blond for as long as i could remember so i thought it was time for a change . i went to the hair salon and told the stylist to give me the darkest brown color she had . she did and i loved it ! .
brit was 16 and felt that boarding school would suit her well .|||brit felt that boarding school would suit her well . she was looking forward to getting away from her parents and having more independence . she also liked the idea of being around other people her age .
after receiving red plates for christmas , my kids loved them .|||my kids were so excited to get red plates for christmas . they loved the color and they thought it was so cool that they were different . we used them all the time and they always got lots of compliments .
the cat smelled a shoe .|||the cat smelled a shoe and went crazy . it seemed like it had never smelled a shoe before . it ran around the house and acted like it was the best thing it had ever smelled .
it had n't snowed all winter .|||completion : the ground was muddy and the snow was melting . the only thing that was white was the ice on the river . the trees were starting to get green and the birds were singing .
there was a bad thunderstorm outside .|||the wind was so strong that it was knocking things over . the rain was coming down so hard that it was coming through the windows . the thunder was so loud that it was shaking the house .
[MALE] went to buy a toy for his nephew .|||he found a toy that he liked and picked it up . as he was leaving the store , he was stopped by the security guard who told him he could not take the toy out of the store .
[MALE] was turning 21 .|||[MALE] 's friends threw him a party . there was a lot of alcohol . [MALE] ended up getting drunk and making a fool of himself . his friends were embarrassed and stopped talking to him .
i bought the clothes clandestinely .|||i bought the clothes clandestinely because i knew my mother would not have approved . i did n't want her to know that i was buying something that was not for school .
[FEMALE] owned a local bakery .|||[FEMALE] was having a hard time keeping up with the demand for her baked goods . she decided to hire an assistant . [MALE] applied for the job and got it .
[FEMALE] was bleaching her hair .|||[FEMALE] was bleaching her hair to get rid of the orange tint . she had tried a few different methods , but they all left her hair feeling dry and brittle . she finally found a product that worked well and left her hair feeling soft and silky .
